,type,direction,price,size,timestamp,stop_loss,pnl,reason
177,exit,,26056.0,,2023-08-22 20:00:00,,-297.01609973859837,tp_ema10
178,entry,short,25932.01,1.1286490586635896,2023-08-25 12:00:00,26314.05,,
179,exit,,26087.15,,2023-08-26 00:00:00,,-175.09861496107274,tp_ema10
180,entry,short,26012.98,3.5410586884590223,2023-08-28 00:00:00,26133.71,,
181,exit,,26104.17,,2023-08-28 12:00:00,,-322.9091418005736,tp_ema10
182,entry,long,27423.44,0.28021827277802946,2023-08-29 12:00:00,25922.0,,
183,exit,,26922.01,,2023-08-31 12:00:00,,-140.5098485190874,tp_ema10
184,entry,short,25811.0,1.2109571497418645,2023-09-01 12:00:00,26156.0,,
185,exit,,25956.22,,2023-09-03 04:00:00,,-175.85519728551498,tp_ema10
186,entry,short,25814.23,2.1018590808483997,2023-09-04 12:00:00,26011.24,,
187,exit,,25792.1,,2023-09-05 20:00:00,,46.514141459177225,tp_ema10
188,entry,short,25588.02,2.184777631795932,2023-09-06 12:00:00,25778.0,,
189,exit,,25759.95,,2023-09-06 20:00:00,,-375.62881823467524,tp_ema10
190,entry,long,26255.0,0.8456755198672061,2023-09-07 20:00:00,25773.52,,
191,exit,,25839.51,,2023-09-08 08:00:00,,-351.3697217496268,tp_ema10
192,entry,short,25601.27,1.3352384114251625,2023-09-11 08:00:00,25900.69,,
193,exit,,25797.97,,2023-09-12 00:00:00,,-262.6413955273304,tp_ema10
194,entry,long,26198.41,1.1346233549434415,2023-09-13 08:00:00,25850.91,,
195,exit,,26425.16,,2023-09-15 08:00:00,,257.27584573342534,tp_ema10
196,entry,long,26658.66,1.42079701611477,2023-09-18 00:00:00,26377.35,,
197,exit,,26762.51,,2023-09-18 20:00:00,,147.5497701235168,tp_ema10
198,entry,short,26584.02,0.93025764186762,2023-09-21 12:00:00,27017.0,,
199,exit,,26596.71,,2023-09-24 08:00:00,,-11.804969475298881,tp_ema10
200,entry,short,26449.17,1.3910738826307385,2023-09-24 16:00:00,26738.54,,
201,exit,,26331.83,,2023-09-25 16:00:00,,163.228609387886,tp_ema10
202,entry,short,26126.66,1.9509003326157228,2023-09-26 12:00:00,26334.75,,
203,exit,,26278.04,,2023-09-27 00:00:00,,-295.3272923513701,tp_ema10
204,entry,long,27020.0,0.6338269205730491,2023-09-28 12:00:00,26389.29,,
205,exit,,27494.51,,2023-10-02 20:00:00,,300.7572120811165,tp_ema10
206,entry,long,27572.43,1.8318155834009844,2023-10-04 08:00:00,27350.75,,
207,exit,,27404.22,,2023-10-04 12:00:00,,-308.129699283878,tp_ema10
208,entry,long,27638.52,1.6078789475852862,2023-10-06 04:00:00,27389.99,,
209,exit,,27811.63,,2023-10-08 08:00:00,,278.33992461648984,tp_ema10
210,entry,short,27408.01,1.2399501307694838,2023-10-10 12:00:00,27735.0,,
211,exit,,26875.0,,2023-10-13 04:00:00,,660.9058192014405,tp_ema10
212,entry,short,26706.83,1.612684852948046,2023-10-13 12:00:00,26966.85,,
213,exit,,26862.0,,2023-10-13 20:00:00,,-250.24030863194548,tp_ema10
214,entry,long,27154.15,1.5880772761458632,2023-10-15 20:00:00,26893.41,,
215,exit,,28247.45,,2023-10-18 12:00:00,,1736.244886010271,tp_ema10
216,entry,long,28680.09,1.1287961606205732,2023-10-19 12:00:00,28280.96,,
217,exit,,34102.66,,2023-10-26 08:00:00,,6120.976196696305,tp_ema10
218,entry,long,34449.99,1.541943580666009,2023-10-29 12:00:00,34074.44,,
219,exit,,34270.42,,2023-10-30 00:00:00,,-276.88680878019477,tp_ema10
220,entry,long,34540.3,1.3971783785881668,2023-10-31 16:00:00,34130.0,,
221,exit,,34418.4,,2023-11-01 00:00:00,,-170.31604434989958,tp_ema10
222,entry,long,35421.43,0.49910693949008617,2023-11-01 20:00:00,34280.02,,
223,exit,,34640.01,,2023-11-02 12:00:00,,-390.0121446563423,tp_ema10
224,entry,long,35062.07,1.5194030490206831,2023-11-04 20:00:00,34692.52,,
225,exit,,34882.92,,2023-11-05 12:00:00,,-272.20105623205757,tp_ema10
226,entry,long,35453.98,0.5970214138537375,2023-11-07 16:00:00,34523.06,,
227,exit,,36988.77,,2023-11-12 00:00:00,,916.302495768574,tp_ema10
228,entry,short,36147.09,0.9633303630293703,2023-11-14 12:00:00,36744.0,,
229,exit,,36240.94,,2023-11-15 08:00:00,,-90.408554570312,tp_ema10
230,entry,long,37858.2,0.3572640240306004,2023-11-15 20:00:00,36254.0,,
231,exit,,36406.0,,2023-11-16 12:00:00,,-518.8188156972369,tp_ema10
232,entry,short,36044.8,0.977447413456622,2023-11-17 12:00:00,36620.0,,
233,exit,,36613.92,,2023-11-17 20:00:00,,-556.2848719464282,tp_ema10
234,entry,long,36948.97,0.9774100696102531,2023-11-19 16:00:00,36385.7,,
235,exit,,37174.97,,2023-11-21 08:00:00,,220.8946757319172,tp_ema10
236,entry,short,35741.65,0.3157417795659237,2023-11-21 20:00:00,37500.0,,
237,exit,,37289.98,,2023-11-22 16:00:00,,-488.8724695553072,tp_ema10
238,entry,long,37522.99,2.007213187855784,2023-11-24 04:00:00,37251.51,,
239,exit,,37679.31,,2023-11-26 08:00:00,,313.76756552561557,tp_ema10
240,entry,short,37035.95,1.282426125136878,2023-11-27 08:00:00,37466.0,,
241,exit,,37242.7,,2023-11-27 20:00:00,,-265.14160137204954,tp_ema10
242,entry,long,38114.26,0.5619840254118097,2023-11-28 16:00:00,37142.81,,
243,exit,,37792.98,,2023-11-30 04:00:00,,-180.55422768430557,tp_ema10
244,entry,long,38043.05,1.2348200494361259,2023-12-01 00:00:00,37604.0,,
245,exit,,43188.03,,2023-12-07 08:00:00,,6353.124457947874,tp_ema10
246,entry,long,43760.94,0.9937093379645744,2023-12-08 12:00:00,43081.1,,
247,exit,,43817.35,,2023-12-09 08:00:00,,56.055143754577884,tp_ema10
248,entry,short,42309.58,0.38973319493019354,2023-12-11 00:00:00,44046.0,,
249,exit,,41939.18,,2023-12-13 12:00:00,,144.35717540214426,tp_ema10
250,entry,short,41925.55,1.3963518652153393,2023-12-17 00:00:00,42412.37,,
251,exit,,42105.91,,2023-12-17 16:00:00,,-251.8460224102394,tp_ema10
252,entry,short,41374.65,0.6427200249218781,2023-12-17 20:00:00,42424.07,,
253,exit,,41701.1,,2023-12-18 16:00:00,,-209.81595213574522,tp_ema10
254,entry,long,43082.2,0.44503288451640804,2023-12-19 00:00:00,41576.52,,
255,exit,,42341.96,,2023-12-19 16:00:00,,-329.431142434425,tp_ema10
256,entry,long,42924.23,0.9233240877818242,2023-12-20 04:00:00,42206.0,,
257,exit,,43584.37,,2023-12-22 04:00:00,,609.5231633082929,tp_ema10
258,entry,short,42774.12,0.8257904686241919,2023-12-26 04:00:00,43592.68,,
259,exit,,43019.11,,2023-12-27 08:00:00,,-202.3104069082391,tp_ema10
260,entry,short,42445.99,0.9001990504327956,2023-12-28 12:00:00,43192.17,,
261,exit,,42862.01,,2023-12-29 08:00:00,,-374.50080896105527,tp_ema10
262,entry,short,42283.58,1.5218147046530641,2023-12-31 20:00:00,42719.8,,
263,exit,,42492.46,,2024-01-01 04:00:00,,-317.87665550792804,tp_ema10
264,entry,long,42783.05,1.9885938230341411,2024-01-01 12:00:00,42452.58,,
265,exit,,43702.88,,2024-01-03 08:00:00,,1829.168256241483,tp_ema10
266,entry,long,44635.99,0.5771516213733553,2024-01-08 08:00:00,43430.79,,
267,exit,,46110.0,,2024-01-09 20:00:00,,850.7272614205406,tp_ema10
268,entry,short,44462.01,0.39526446493830897,2024-01-12 12:00:00,46267.0,,
269,exit,,42992.67,,2024-01-15 16:00:00,,580.7778889124564,tp_ema10
270,entry,short,42655.94,1.3386797443754606,2024-01-17 04:00:00,43198.0,,
271,exit,,42776.1,,2024-01-17 20:00:00,,-160.85575808415027,tp_ema10
272,entry,short,41022.32,0.40402464161169327,2024-01-18 16:00:00,42810.0,,
273,exit,,41814.27,,2024-01-19 16:00:00,,-319.9673149243793,tp_ema10
274,entry,short,41197.04,1.165272868617045,2024-01-22 00:00:00,41811.1,,
275,exit,,39897.6,,2024-01-23 20:00:00,,1514.2021763957357,tp_ema10
276,entry,long,41289.52,0.5366241372083251,2024-01-26 08:00:00,39896.84,,
277,exit,,41785.92,,2024-01-28 16:00:00,,266.3802217102134,tp_ema10
278,entry,long,42641.75,0.8997092595781933,2024-01-29 12:00:00,41804.88,,
279,exit,,42941.1,,2024-01-30 20:00:00,,269.32796685473085,tp_ema10
280,entry,long,43361.1,0.753996198555964,2024-01-31 12:00:00,42355.0,,
281,exit,,42580.0,,2024-01-31 20:00:00,,-588.9464306920623,tp_ema10
282,entry,long,43218.94,0.5857130413426623,2024-02-01 16:00:00,41944.89,,
283,exit,,43053.05,,2024-02-03 04:00:00,,-97.16393642833391,tp_ema10
284,entry,short,42636.44,1.5525896220846749,2024-02-04 16:00:00,43115.76,,
285,exit,,43071.88,,2024-02-05 04:00:00,,-676.0596250405431,tp_ema10
286,entry,long,43194.08,1.3222540311762285,2024-02-05 08:00:00,42642.0,,
287,exit,,42644.03,,2024-02-05 12:00:00,,-727.3058298484883,tp_ema10
288,entry,long,43244.89,1.2178033074425478,2024-02-06 12:00:00,42658.0,,
289,exit,,42800.0,,2024-02-07 00:00:00,,-541.7885134481144,tp_ema10
290,entry,long,43615.47,0.9701763191383617,2024-02-07 16:00:00,42890.51,,
291,exit,,47903.03,,2024-02-12 08:00:00,,4159.689178884872,tp_ema10
292,entry,long,49917.8,0.35813754799103537,2024-02-12 12:00:00,47710.01,,
293,exit,,48727.47,,2024-02-13 12:00:00,,-426.30186750016975,tp_ema10
294,entry,long,49838.93,1.2733583493967076,2024-02-14 04:00:00,49225.01,,
295,exit,,51756.29,,2024-02-16 16:00:00,,2441.486364799272,tp_ema10
296,entry,long,52137.67,1.5138229805775605,2024-02-18 20:00:00,51587.4,,
297,exit,,51820.61,,2024-02-19 16:00:00,,-479.9727142219178,tp_ema10
298,entry,long,52286.8,1.0593871582437515,2024-02-20 08:00:00,51510.0,,
299,exit,,51680.0,,2024-02-20 12:00:00,,-642.8361276223116,tp_ema10
300,entry,short,50965.53,0.7051664713847334,2024-02-21 08:00:00,52113.39,,
301,exit,,51849.39,,2024-02-21 20:00:00,,-623.2684373981109,tp_ema10
302,entry,short,50915.96,1.2588822736386196,2024-02-23 04:00:00,51548.54,,
303,exit,,51119.79,,2024-02-24 08:00:00,,-256.59797383576205,tp_ema10
304,entry,long,52842.32,0.40752400519752385,2024-02-26 12:00:00,50901.44,,
305,exit,,61263.99,,2024-03-01 12:00:00,,3432.03268885183,tp_ema10
306,entry,long,62164.63,1.3435825807062722,2024-03-03 12:00:00,61393.83,,
